Seccion,ID,Rol,Pregunta,Tipo,Opciones,Obligatoria
SECCION_RECEPCIONISTA,R05,Recepcionista,"¿Te gustaría poder agendar citas o clases para los miembros directamente desde la recepción?",Escala_1_5,"1 = No lo necesito | 2 | 3 = Puede ser útil | 4 | 5 = Sería muy útil",Sí
SECCION_RECEPCIONISTA,R06,Recepcionista,"¿Qué tan útil sería poder enviar mensajes o recordatorios a los miembros desde el mismo sistema (por ejemplo, avisos de vencimiento o promociones)?",Escala_1_5,"1 = No útil | 2 | 3 = Algo útil | 4 | 5 = Muy útil",Sí
SECCION_RECEPCIONISTA,R07,Recepcionista,"¿Te gustaría tener una lista de tareas o pendientes del día dentro del sistema, para no perder de vista lo que hay que hacer?",Seleccion_unica,"Sí, lo usaría siempre | Sí, ocasionalmente | Probablemente no | No",Sí
SECCION_RECEPCIONISTA,R08,Recepcionista,"Actualmente, ¿cómo manejas el registro de entradas de miembros y pagos en la recepción?",Seleccion_unica,"Sistema digital especializado | Excel o Google Sheets | Libreta o papeles | De forma verbal, sin registro formal",Sí
SECCION_RECEPCIONISTA,R09,Recepcionista,"¿Qué tan probable es que uses activamente una app de este tipo si tu gimnasio la adoptara?",Escala_1_5,"1 = No la usaría | 2 | 3 = Tal vez | 4 | 5 = La usaría sin duda",Sí
SECCION_RECEPCIONISTA,R10,Recepcionista,"¿Cuál de las siguientes funciones sería la más útil para tu trabajo en recepción? (elige la más importante)",Seleccion_unica,"Verificar membresías al instante | Registrar pagos sin papeles | Cobrar en el POS integrado | Ver lista de vencimientos del día | Enviar avisos a miembros",Sí
SECCION_RECEPCIONISTA,R11,Recepcionista,"¿Qué otra función te facilitaría el trabajo diario en la recepción del gimnasio?",Texto_abierto,,No
SECCION_MIEMBRO,M01,Miembro,"[SECCIÓN: MIEMBRO] ¿Te gustaría poder consultar el estado de tu membresía (vigencia, tipo de plan, próxima fecha de pago) desde tu celular sin ir a la recepción?",Escala_1_5,"1 = No me interesa | 2 | 3 = Me es indiferente | 4 | 5 = Lo usaría siempre",Sí
SECCION_MIEMBRO,M02,Miembro,"¿Qué tan útil te resultaría poder renovar o pagar tu membresía en línea desde una app, sin necesidad de ir al gimnasio?",Escala_1_5,"1 = No útil | 2 | 3 = Algo útil | 4 | 5 = Muy útil",Sí
SECCION_MIEMBRO,M03,Miembro,"¿Te gustaría tener acceso a la rutina de entrenamiento que te asignó tu entrenador directamente en tu teléfono, con instrucciones de cada ejercicio?",Escala_1_5,"1 = No lo usaría | 2 | 3 = Puede ser útil | 4 | 5 = Lo usaría en cada entrenamiento",Sí
SECCION_MIEMBRO,M04,Miembro,"¿Qué tan motivador sería para ti poder ver gráficas de tu progreso corporal (peso, medidas, IMC) mes a mes dentro de la app?",Escala_1_5,"1 = No me motivaría | 2 | 3 = Algo motivador | 4 | 5 = Me motivaría mucho",Sí
SECCION_MIEMBRO,M05,Miembro,"¿Usarías una función de la app que te ayude a registrar tus medidas corporales y te muestre cómo has avanzado desde que empezaste en el gimnasio?",Seleccion_unica,"Sí, siempre | Sí, de vez en cuando | Probablemente no | No",Sí
SECCION_MIEMBRO,M06,Miembro,"¿Qué tan interesante te parecería que la app te mostrara una predicción de tu peso o composición corporal esperada si sigues tu plan de entrenamiento?",Escala_1_5,"1 = No me interesa | 2 | 3 = Interesante | 4 | 5 = Muy interesante",Sí
SECCION_MIEMBRO,M07,Miembro,"¿Te gustaría que la app incluyera un plan de alimentación personalizado basado en tu objetivo (bajar peso, ganar músculo, mantener, etc.)?",Escala_1_5,"1 = No lo usaría | 2 | 3 = Puede ser útil | 4 | 5 = Lo usaría constantemente",Sí
SECCION_MIEMBRO,M08,Miembro,"¿Qué tan probable es que consultes recetas saludables dentro de la app si fueran acordes a tu objetivo de entrenamiento?",Escala_1_5,"1 = No las consultaría | 2 | 3 = Tal vez | 4 | 5 = Las consultaría frecuentemente",Sí
SECCION_MIEMBRO,M09,Miembro,"¿Te daría más confianza en tu entrenador saber que puede ver tu historial de salud (presión arterial, condiciones médicas) para personalizar mejor tu rutina?",Escala_1_5,"1 = No, prefiero privacidad total | 2 | 3 = Me es indiferente | 4 | 5 = Sí, le daría más confianza",Sí
SECCION_MIEMBRO,M10,Miembro,"¿Crees que usar una app como esta te haría sentir más comprometido con tu entrenamiento y más motivado a cumplir tus metas?",Escala_1_5,"1 = No creo | 2 | 3 = Tal vez | 4 | 5 = Definitivamente sí",Sí
SECCION_MIEMBRO,M11,Miembro,"¿Qué tan importante es para ti que toda tu información de entrenamiento, salud y pagos esté en un solo lugar (una sola app)?",Escala_1_5,"1 = Sin importancia | 2 | 3 = Algo importante | 4 | 5 = Muy importante",Sí
SECCION_MIEMBRO,M12,Miembro,"Si tu gimnasio implementara esta app, ¿cuál sería el principal beneficio que esperarías obtener? (elige el más importante)",Seleccion_unica,"Ver y seguir mi rutina fácilmente | Pagar y renovar mi membresía en línea | Rastrear mi progreso físico | Tener un plan de alimentación | Recibir recordatorios de sesiones",Sí
SECCION_MIEMBRO,M13,Miembro,"¿Qué tan probable es que uses activamente la app si tu gimnasio la implementara?",Escala_1_5,"1 = No la usaría | 2 | 3 = Tal vez | 4 | 5 = La usaría sin duda",Sí
SECCION_MIEMBRO,M14,Miembro,"¿Qué funcionalidad agregarías a la app que crees que haría tu experiencia en el gimnasio mucho mejor?",Texto_abierto,,No
CIERRE,C01,TODOS,"En general, ¿qué tan interesado estás en que tu gimnasio adopte una aplicación digital como la descrita?",Escala_1_5,"1 = Nada interesado | 2 | 3 = Algo interesado | 4 | 5 = Muy interesado",Sí
CIERRE,C02,TODOS,"¿Recomendarías a la administración de tu gimnasio implementar una solución digital de este tipo?",NPS_0_10,"0 = Definitivamente no | 10 = Definitivamente sí",Sí
CIERRE,C03,TODOS,"¿Tienes algún comentario adicional sobre cómo debería ser la app ideal para tu gimnasio?",Texto_abierto,,No
